# 1:r 2:z 3:nm 4:na 5:Em 6:Ea
152.91 -99.85 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.07 -101.82 0.00e+00 1.16e+10 0.00e+00 0.00e+00
151.20 -103.84 0.00e+00 0.00e+00 0.00e+00 0.00e+00
150.48 -105.55 0.00e+00 0.00e+00 0.00e+00 0.00e+00
149.87 -106.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00

171.79 -57.24 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.52 -65.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.33 -73.01 0.00e+00 2.19e+07 0.00e+00 0.00e+00
162.28 -80.02 0.00e+00 2.37e+07 0.00e+00 0.00e+00
159.23 -86.98 0.00e+00 1.60e+08 0.00e+00 0.00e+00
157.46 -91.02 0.00e+00 8.83e+09 0.00e+00 0.00e+00
156.63 -92.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.90 -94.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.06 -96.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00
154.35 -98.20 0.00e+00 7.41e+09 0.00e+00 0.00e+00
153.67 -99.80 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.86 -101.72 0.00e+00 7.05e+08 0.00e+00 0.00e+00
152.04 -103.65 0.00e+00 7.21e+09 0.00e+00 0.00e+00
151.38 -105.24 0.00e+00 0.00e+00 0.00e+00 0.00e+00
150.86 -106.49 0.00e+00 0.00e+00 0.00e+00 0.00e+00

172.19 -57.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.99 -65.49 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.85 -73.07 0.00e+00 2.19e+07 0.00e+00 0.00e+00
162.86 -80.08 0.00e+00 2.37e+07 0.00e+00 0.00e+00
159.86 -87.03 0.00e+00 1.60e+08 0.00e+00 0.00e+00
158.13 -91.04 0.00e+00 3.52e+09 0.00e+00 0.00e+00
157.32 -92.93 0.00e+00 0.00e+00 0.00e+00 0.00e+00
156.60 -94.61 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.79 -96.52 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.10 -98.15 0.00e+00 7.64e+09 0.00e+00 0.00e+00
154.44 -99.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.67 -101.57 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.90 -103.42 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.30 -104.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00
151.85 -105.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00

172.61 -57.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.47 -65.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.38 -73.12 0.00e+00 2.19e+07 0.00e+00 0.00e+00
163.44 -80.13 0.00e+00 2.37e+07 0.00e+00 0.00e+00
160.50 -87.05 0.00e+00 1.60e+08 0.00e+00 0.00e+00
158.81 -91.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
158.02 -92.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00
157.32 -94.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00
156.54 -96.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00
